id,legacy_methods,legacy_uri,legacy_handler,operation,risk,legacy_static_acl,legacy_role_check,target_surface,proposed_target_class,module,wave,authorization_contract,http_contract,idempotency_contract,audit_contract,required_tests,cutover_contract,disposition
FIL-ROUTE-040,GET,admin/user_notify,Admin\\VoyagerAdminController@user_notify,run notification command,Critical,controller auth,none,Restricted Operations Page + queued command,App\Filament\Pages\Operations,Foundation,0-foundation,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",admin-only POST/action; duplicate notifications; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_without_get_writes
FIL-ROUTE-041,GET,admin/email-sender,Admin\\EmailSenderController@index,list users/locales/PII,Critical,no static auth,none,Restricted custom Page + queued Job,App\Filament\Clusters\Marketing\Pages\EmailCampaign,Контент,7-content-seo,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; data minimization; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_consent_and_queue_controls
FIL-ROUTE-042,POST,admin/email-sender,Admin\\EmailSenderController@send,bulk marketing email,Critical,no static auth,none,Restricted custom Page + queued Job,App\Filament\Clusters\Marketing\Pages\EmailCampaign,Контент,7-content-seo,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; consent/rate/idempotency; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_consent_and_queue_controls
FIL-ROUTE-043,GET,admin/Coupon30_40,Admin\\OrdersController@Coupon30_40,list promotion screenshots/users,High,no static auth,none,User Resource Action / Marketing Page,App\Filament\Clusters\Access\Resources\UserResource\Actions\PromotionAction,Пользователи и роли,2-users-roles,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; PII/file access; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_as_authorized_idempotent_action
FIL-ROUTE-044,GET,admin/facebook,Admin\\OrdersController@facebookCoupon,list promotion screenshots/users,High,no static auth,none,User Resource Action / Marketing Page,App\Filament\Clusters\Access\Resources\UserResource\Actions\PromotionAction,Пользователи и роли,2-users-roles,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; PII/file access; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_as_authorized_idempotent_action
FIL-ROUTE-045,POST,admin/salefacebook,Admin\\OrdersController@ajaxfacebook,update user/create coupon/send mail,Critical,no static auth,none,User Resource Action / Marketing Page,App\Filament\Clusters\Access\Resources\UserResource\Actions\PromotionAction,Пользователи и роли,2-users-roles,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; duplicate coupon/mail; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_as_authorized_idempotent_action
FIL-ROUTE-046,POST,admin/sale30_40,Admin\\OrdersController@ajax30_40,update user/create coupon/send mail,Critical,no static auth,none,User Resource Action / Marketing Page,App\Filament\Clusters\Access\Resources\UserResource\Actions\PromotionAction,Пользователи и роли,2-users-roles,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; duplicate coupon/mail; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_as_authorized_idempotent_action
FIL-ROUTE-047,POST,admin/sa/bot-control,Admin\\AdminSaIntegrationController@botControl,change bot mode/external event,Critical,no static auth,none,Order/Conversation Action,App\Filament\Clusters\Crm\Actions\SaIntegrationAction,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; idempotency/concurrency; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-048,POST,admin/sa/send-message,Admin\\AdminSaIntegrationController@sendMessage,send customer-visible message,Critical,no static auth,none,Order/Conversation Action,App\Filament\Clusters\Crm\Actions\SaIntegrationAction,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; duplicate/retry/audit sender; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-049,GET,admin/sa/messages,Admin\\AdminSaIntegrationController@getMessages,read customer messages,Critical,no static auth,none,Order/Conversation Action,App\Filament\Clusters\Crm\Actions\SaIntegrationAction,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role/foreign-order deny; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-050,GET,admin/sa-conversations,Admin\\AdminSaIntegrationController@conversationsIndex,list conversations/customer data,Critical,no static auth,none,Custom Page/Action,App\Filament\Clusters\Crm\Pages\SaConversationPage,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; PII scope; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-051,GET,admin/sa-conversations/unread-state,Admin\\AdminSaIntegrationController@conversationsUnreadState,read conversation aggregate,High,no static auth,none,Custom Page/Action,App\Filament\Clusters\Crm\Pages\SaConversationPage,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-052,GET,admin/sa-conversations/{conversation},Admin\\AdminSaIntegrationController@conversationShow,read messages and mark read,Critical,no static auth,none,Custom Page/Action,App\Filament\Clusters\Crm\Pages\SaConversationPage,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; GET read-state mutation; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-053,POST,admin/sa-conversations/{conversation}/send-message,Admin\\AdminSaIntegrationController@conversationSendMessage,send customer-visible message,Critical,no static auth,none,Custom Page/Action,App\Filament\Clusters\Crm\Pages\SaConversationPage,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; duplicate/retry/audit sender; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-054,POST,admin/sa-conversations/{conversation}/create-order,Admin\\AdminSaIntegrationController@conversationCreateOrder,create order from conversation,Critical,no static auth,none,Custom Page/Action,App\Filament\Clusters\Crm\Pages\SaConversationPage,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; concurrent create/idempotency; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-055,POST,admin/sa-conversations/{conversation}/bind-order,Admin\\AdminSaIntegrationController@conversationBindOrder,bind conversation to order/write chat,Critical,no static auth,none,Custom Page/Action,App\Filament\Clusters\Crm\Pages\SaConversationPage,Чаты,3-chats,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; ownership/conflict/concurrency; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-056,GET,admin/sa-simulator,Admin\\AdminSaIntegrationController@simulator,read simulator data,High,no static auth,none,Restricted custom Page/Action,App\Filament\Clusters\Crm\Pages\SaSimulator,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; production availability; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_restricted
FIL-ROUTE-057,POST,admin/sa-simulator/trigger,Admin\\AdminSaIntegrationController@simulatorTrigger,dispatch arbitrary allowed internal API path,Critical,no static auth,none,Restricted custom Page/Action,App\Filament\Clusters\Crm\Pages\SaSimulator,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",disable in production or strict admin allowlist; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_restricted
FIL-ROUTE-058,POST,admin/check-user,AccountController@ajax_check_user,search/list users by email,Critical,no static auth,none,Scoped User selector service,App\Filament\Clusters\Crm\Resources\OrderResource\Pages\CreateOrder,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; enumeration/rate limit; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,replace_with_scoped_component
